,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,composite_score
random_forest,0.9589743589743591,0.9471830985915493,0.7157203907203907,0.9333333333333333,0.7980190861769809,0.9831125642745361,0.9285714285714286,0.9611111111111111,0.5333333333333333,1.0,0.6956521739130435,0.9944444444444445,0.9472222222222222,0.9573999552872792
logistic_regression,0.9641025641025642,0.9347026604068857,0.8006410256410256,0.9,0.8063157894736843,0.9903383262538192,0.9795918367346939,0.9888888888888889,0.8,1.0,0.8888888888888888,0.9986111111111111,0.9861111111111112,0.9465461286235934
lightgbm,0.9846153846153847,0.9353174603174604,0.95,0.8761904761904763,0.8980952380952381,0.9949074074074075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9414153439153441
svm,0.9640359640359641,0.8936312318354572,0.8380952380952381,0.8095238095238095,0.7917948717948718,0.9978668306133095,0.9897959183673469,0.9944444444444445,0.8888888888888888,1.0,0.9411764705882353,0.998611111111111,0.9861111111111112,0.9100932446531038
decision_tree,0.940992340992341,0.9116476637603398,0.6303968253968254,0.8761904761904763,0.7179487179487178,0.933150756390193,0.9285714285714286,0.9041666666666667,0.5384615384615384,0.875,0.6666666666666666,0.9333333333333333,0.8852040816326531,0.9096117445413221
xgboost,0.9768564768564769,0.8876984126984127,0.95,0.780952380952381,0.8368831168831168,0.9921231090245174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.897444481705045
